Date,User,Tweet
2022-10-26 23:42:33+00:00,priscillamaduka,@mercyy_yy @hit__n Please do
2022-10-26 23:42:27+00:00,Godwincreat,@Realoilsheikh @PeterObi @FS_Yusuf_ @rudeboypsquare @psquare When did North start using container to carry goods to Onitsha. What happen to their usual trailers? Container i know is used to ship things and any container you see could be coming from the wharf. Please stop this unnecessary tribal hate &amp; fueling false narrations its not good
2022-10-26 23:41:42+00:00,gauchocarter10,"@PeterObi @PeterObi please help us dey wear life jacket na, we don't want to hear stories that touch the heart😭😭😭😭😭😭😭😭😭"
2022-10-26 23:41:41+00:00,LadyXan_,@Onyemaechi08 Management is very important. I wish her the best management company 🙏
2022-10-26 23:40:39+00:00,TryNaija,"BREAKING: Kidnappers Demand N300Million To Free University Of Nigeria Students, Others Abducted On Sunday – https://t.co/7IcHRdonPA https://t.co/CsL71zvp16"
2022-10-26 23:38:34+00:00,BasilAni4,"May Peter Obi succeed, may God help Datti and may God bless obidient movement"
2022-10-26 23:37:45+00:00,thayour_H20,@renoomokri @PeterObi OBI and OBIdient 😂 😂 👆🏼 https://t.co/38jt7FJzG2
2022-10-26 23:37:10+00:00,Jones__JNS,@MrKorezy kfb
2022-10-26 23:36:02+00:00,Sunny64605564,"@wind_2023 @JosephOnuorah @FS_Yusuf_ @magnificdude @north_central6 @PeterObi @NgLabour This is very encouraging sir.
Thank you for this update."
2022-10-26 23:35:08+00:00,Plutoniam1108,"@AndyKor8 @teeana_world @nzekanze7 Throwing your dirty into the ring and dragging IPOB alongside to gain sympathy? Dolt, not every Obidient is a igbo man or biafra sympathizer. Wise up."
2022-10-26 23:34:37+00:00,LadyXan_,"@_NocySA Tacha cleared her entitled fans who were pressurizing and comparing her to Mercy &amp; others signing deals. Please you can leave Phyna and her Phynation while remain with Tacha. Stop draining the innocent girl. 

FOCUSED PHYNA
PHYNA DAUGHTER OF GRACE
#Phyna"
2022-10-26 23:33:57+00:00,satragaha,"@MosesAbiodunMa1 @Naija_PR Na real obidient, awon soro soke"
2022-10-26 23:32:26+00:00,LadyXan_,"@_NocySA Why comparing both ladies? Tacha was 2019 housemate while Phyna was in the just concluded. Tacha was disqualified while Phyna won. So, comparing both is so unnecessary cos DQ will put more effort to stay relevant than the rest. Phyna never mentioned her personal life to u'all"
2022-10-26 23:30:12+00:00,Cikings,"@drpenking On top white bedsheets?
Chukwu aju!"
2022-10-26 23:29:37+00:00,giftcard_buyer,@reidsamantha97 Happy Birthday 🎂
